evento_id,timestamp,sede,medico_id,tiempo_segundos,completada
1,2025-11-03T17:07:00,Quito,MED-QUI-12,7.69,1
2,2025-11-03T08:43:00,Quito,MED-QUI-09,6.69,1
3,2025-11-03T08:37:00,Quito,MED-QUI-09,6.17,1
4,2025-11-03T16:01:00,Quito,MED-QUI-12,6.67,1
5,2025-11-03T17:44:00,Quito,MED-QUI-01,5.48,1
6,2025-11-03T09:44:00,Quito,MED-QUI-05,6.21,1
7,2025-11-03T09:13:00,Quito,MED-QUI-02,7.81,1
8,2025-11-03T12:54:00,Quito,MED-QUI-08,9.27,1
9,2025-11-03T15:07:00,Quito,MED-QUI-07,7.48,0
10,2025-11-03T08:35:00,Quito,MED-QUI-06,5.93,1
11,2025-11-03T16:12:00,Quito,MED-QUI-01,8.53,1
12,2025-11-03T17:14:00,Quito,MED-QUI-02,7.13,1
13,2025-11-03T13:17:00,Quito,MED-QUI-06,2.19,1
14,2025-11-03T09:23:00,Quito,MED-QUI-11,5.13,1
15,2025-11-03T17:04:00,Quito,MED-QUI-03,8.26,1
16,2025-11-03T15:46:00,Quito,MED-QUI-11,6.55,1
17,2025-11-03T18:35:00,Quito,MED-QUI-06,8.17,1
18,2025-11-03T07:14:00,Quito,MED-QUI-02,7.68,1
19,2025-11-03T10:58:00,Quito,MED-QUI-11,11.89,1
20,2025-11-03T14:25:00,Quito,MED-QUI-11,5.42,1
21,2025-11-03T14:09:00,Quito,MED-QUI-05,6.39,1
22,2025-11-03T18:37:00,Quito,MED-QUI-10,7.62,1
23,2025-11-03T13:23:00,Quito,MED-QUI-02,7.5,1
24,2025-11-03T07:55:00,Quito,MED-QUI-11,11.6,1
25,2025-11-03T09:50:00,Quito,MED-QUI-10,5.65,1
26,2025-11-03T14:33:00,Quito,MED-QUI-09,4.67,1
27,2025-11-03T07:43:00,Quito,MED-QUI-05,6.08,1
28,2025-11-03T17:21:00,Quito,MED-QUI-07,4.27,1
29,2025-11-03T09:29:00,Quito,MED-QUI-09,8.9,1
30,2025-11-03T09:32:00,Quito,MED-QUI-11,6.55,1
31,2025-11-03T11:53:00,Quito,MED-QUI-03,7.08,1
32,2025-11-03T15:49:00,Quito,MED-QUI-08,9.47,1
33,2025-11-03T07:07:00,Quito,MED-QUI-05,4.93,1
34,2025-11-03T10:03:00,Quito,MED-QUI-12,13.2,1
35,2025-11-03T14:52:00,Quito,MED-QUI-03,8.8,1
36,2025-11-03T17:30:00,Quito,MED-QUI-03,7.57,1
37,2025-11-03T11:33:00,Quito,MED-QUI-09,10.09,1
38,2025-11-03T18:44:00,Quito,MED-QUI-11,6.89,0
39,2025-11-03T12:28:00,Quito,MED-QUI-02,13.51,1
40,2025-11-03T12:01:00,Quito,MED-QUI-02,8.3,1
41,2025-11-03T18:40:00,Quito,MED-QUI-02,5.93,1
42,2025-11-03T07:55:00,Quito,MED-QUI-08,5.63,1
43,2025-11-03T10:34:00,Quito,MED-QUI-08,15.23,1
44,2025-11-03T10:50:00,Quito,MED-QUI-11,11.08,1
45,2025-11-03T13:22:00,Quito,MED-QUI-08,6.76,1
46,2025-11-03T18:03:00,Quito,MED-QUI-07,4.5,1
47,2025-11-03T18:21:00,Quito,MED-QUI-02,2.67,1
48,2025-11-03T10:12:00,Quito,MED-QUI-05,13.13,1
49,2025-11-03T14:15:00,Quito,MED-QUI-09,6.92,1
50,2025-11-03T08:03:00,Quito,MED-QUI-09,6.08,1
51,2025-11-03T07:05:00,Quito,MED-QUI-08,9.11,1
52,2025-11-03T14:13:00,Quito,MED-QUI-01,5.2,1
53,2025-11-03T09:24:00,Quito,MED-QUI-08,7.99,1
54,2025-11-03T11:27:00,Quito,MED-QUI-11,9.45,1
55,2025-11-03T18:31:00,Quito,MED-QUI-05,4.21,1
56,2025-11-03T10:03:00,Quito,MED-QUI-01,7.66,1
57,2025-11-03T07:37:00,Quito,MED-QUI-01,3.17,1
58,2025-11-03T15:05:00,Quito,MED-QUI-02,6.99,1
59,2025-11-03T16:04:00,Quito,MED-QUI-10,6.0,1
60,2025-11-03T10:37:00,Quito,MED-QUI-10,7.22,1
61,2025-11-03T16:33:00,Quito,MED-QUI-05,5.33,1
62,2025-11-03T10:42:00,Quito,MED-QUI-11,8.82,1
63,2025-11-03T17:19:00,Quito,MED-QUI-01,3.17,1
64,2025-11-03T14:39:00,Quito,MED-QUI-02,7.42,0
65,2025-11-03T08:34:00,Quito,MED-QUI-02,6.77,1
66,2025-11-03T10:23:00,Quito,MED-QUI-05,11.18,1
67,2025-11-03T16:51:00,Quito,MED-QUI-01,8.07,1
68,2025-11-03T17:52:00,Quito,MED-QUI-03,3.23,1
69,2025-11-03T11:07:00,Quito,MED-QUI-05,11.87,1
70,2025-11-03T16:13:00,Quito,MED-QUI-04,4.92,1
71,2025-11-03T17:40:00,Quito,MED-QUI-01,7.57,1
72,2025-11-03T08:40:00,Quito,MED-QUI-05,5.08,1
73,2025-11-03T07:00:00,Quito,MED-QUI-03,6.1,0
74,2025-11-03T18:28:00,Quito,MED-QUI-07,7.19,1
75,2025-11-03T15:00:00,Quito,MED-QUI-03,9.26,1
76,2025-11-03T15:02:00,Quito,MED-QUI-10,8.84,1
77,2025-11-03T15:09:00,Quito,MED-QUI-01,6.1,1
78,2025-11-03T12:13:00,Quito,MED-QUI-09,9.46,1
79,2025-11-03T13:39:00,Quito,MED-QUI-04,4.48,1
80,2025-11-03T09:51:00,Quito,MED-QUI-12,7.65,1
81,2025-11-03T12:50:00,Quito,MED-QUI-04,10.89,1
82,2025-11-03T11:10:00,Quito,MED-QUI-08,9.59,1
83,2025-11-03T10:12:00,Quito,MED-QUI-04,10.7,1
84,2025-11-03T10:01:00,Quito,MED-QUI-02,7.9,1
85,2025-11-03T11:22:00,Quito,MED-QUI-09,7.95,0
86,2025-11-03T12:01:00,Quito,MED-QUI-05,13.3,1
87,2025-11-03T07:06:00,Quito,MED-QUI-06,9.14,1
88,2025-11-03T18:50:00,Quito,MED-QUI-07,5.7,1
89,2025-11-03T16:12:00,Quito,MED-QUI-12,8.39,1
90,2025-11-03T13:00:00,Quito,MED-QUI-12,3.8,1
91,2025-11-03T18:42:00,Quito,MED-QUI-07,6.16,1
92,2025-11-03T08:42:00,Quito,MED-QUI-02,8.34,1
93,2025-11-03T18:57:00,Quito,MED-QUI-05,5.5,1
94,2025-11-03T17:26:00,Quito,MED-QUI-04,5.43,1
95,2025-11-03T13:42:00,Quito,MED-QUI-11,8.56,1
96,2025-11-03T18:57:00,Quito,MED-QUI-01,7.39,1
97,2025-11-03T11:18:00,Quito,MED-QUI-06,13.1,1
98,2025-11-03T14:28:00,Quito,MED-QUI-04,9.05,1
99,2025-11-03T15:30:00,Quito,MED-QUI-11,7.53,1
100,2025-11-03T08:18:00,Quito,MED-QUI-11,2.84,1
101,2025-11-03T16:21:00,Quito,MED-QUI-05,9.58,1
102,2025-11-03T10:51:00,Quito,MED-QUI-08,12.69,1
103,2025-11-03T16:54:00,Quito,MED-QUI-08,6.82,1
104,2025-11-03T13:56:00,Quito,MED-QUI-08,5.82,1
105,2025-11-03T13:15:00,Quito,MED-QUI-12,5.78,1
106,2025-11-03T07:57:00,Quito,MED-QUI-07,6.52,1
107,2025-11-03T10:11:00,Quito,MED-QUI-09,8.96,1
108,2025-11-03T10:58:00,Quito,MED-QUI-11,9.6,1
109,2025-11-03T15:35:00,Quito,MED-QUI-08,5.15,1
110,2025-11-03T16:52:00,Quito,MED-QUI-09,6.16,1
111,2025-11-03T14:57:00,Quito,MED-QUI-08,4.75,1
112,2025-11-03T14:16:00,Quito,MED-QUI-09,6.53,1
113,2025-11-03T14:40:00,Quito,MED-QUI-08,3.63,1
114,2025-11-03T08:45:00,Quito,MED-QUI-09,6.23,1
115,2025-11-03T08:08:00,Quito,MED-QUI-07,7.66,1
116,2025-11-03T18:09:00,Quito,MED-QUI-09,6.35,1
117,2025-11-03T14:26:00,Quito,MED-QUI-07,5.97,1
118,2025-11-03T13:57:00,Quito,MED-QUI-10,6.95,1
119,2025-11-03T13:30:00,Quito,MED-QUI-06,2.9,1
120,2025-11-03T11:48:00,Quito,MED-QUI-09,10.75,1
121,2025-11-03T18:47:00,Quito,MED-QUI-04,4.55,1
122,2025-11-03T11:27:00,Quito,MED-QUI-07,7.94,1
123,2025-11-03T18:10:00,Quito,MED-QUI-03,6.63,1
124,2025-11-03T16:34:00,Quito,MED-QUI-01,7.98,1
125,2025-11-03T08:41:00,Quito,MED-QUI-08,6.75,1
126,2025-11-03T09:03:00,Quito,MED-QUI-06,6.41,1
127,2025-11-03T13:17:00,Quito,MED-QUI-07,7.83,1
128,2025-11-03T11:53:00,Quito,MED-QUI-06,10.95,1
129,2025-11-03T10:41:00,Quito,MED-QUI-01,16.02,1
130,2025-11-03T10:12:00,Quito,MED-QUI-08,9.25,1
131,2025-11-03T17:07:00,Quito,MED-QUI-06,5.53,1
132,2025-11-03T09:38:00,Quito,MED-QUI-12,6.09,1
133,2025-11-03T18:07:00,Quito,MED-QUI-10,6.66,1
134,2025-11-03T07:59:00,Quito,MED-QUI-11,5.62,1
135,2025-11-03T13:25:00,Quito,MED-QUI-11,7.43,1
136,2025-11-03T10:06:00,Quito,MED-QUI-02,9.59,1
137,2025-11-03T16:50:00,Quito,MED-QUI-09,5.3,1
138,2025-11-03T13:42:00,Quito,MED-QUI-07,5.28,1
139,2025-11-03T14:06:00,Quito,MED-QUI-06,7.79,1
140,2025-11-03T17:57:00,Quito,MED-QUI-12,7.62,1
141,2025-11-03T15:41:00,Quito,MED-QUI-09,4.43,1
142,2025-11-03T14:29:00,Quito,MED-QUI-04,4.27,1
143,2025-11-03T08:17:00,Quito,MED-QUI-04,7.46,1
144,2025-11-03T14:36:00,Quito,MED-QUI-06,5.37,1
145,2025-11-03T09:31:00,Quito,MED-QUI-05,5.56,1
146,2025-11-03T12:17:00,Quito,MED-QUI-01,10.08,1
